# pid_algorithm_sim v1
# alg: step2
# set_pid: 2000 25 350000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 1
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.080640,-27,-54000,-54000,-306236,-202,0,27,1
0.080896,30,60000,-57625,415606,204,0,-30,0
0.081152,72,144000,-54350,809338,439,0,-72,1
0.081408,12,24000,-52600,98433,34,0,-12,0
0.081664,0,0,-49775,-65622,-56,0,0,1
0.081920,31,62000,-52150,371858,186,0,-31,0
0.082176,-33,-66000,-52775,-360921,-234,0,33,1
0.082432,30,60000,-48200,295299,150,0,-30,0
0.082688,-5,-10000,-48850,-76559,-66,0,5,1
0.082944,-17,-34000,-50675,-164055,-121,0,17,1
0.083200,25,50000,-52225,328110,159,0,-25,0
0.083456,-17,-34000,-47475,-240614,-157,0,17,1
0.083712,15,30000,-46650,120307,51,0,-15,0
0.083968,-17,-34000,-46250,-251551,-162,0,17,1
0.084224,-40,-80000,-41325,-579661,-342,0,40,2
0.084480,22,44000,-39925,131244,66,0,-22,0
0.084736,2,4000,-39975,-54685,-44,0,-2,1
0.084992,-18,-36000,-40700,-240614,-155,0,18,1
0.085248,-8,-16000,-38100,-153118,-101,0,8,1
0.085504,39,78000,-38250,404669,217,0,-39,0
0.085760,22,44000,-36800,196866,100,0,-22,0
0.086016,-28,-56000,-36925,-349984,-216,0,28,1
0.086272,33,66000,-33375,295299,160,0,-33,0
0.086528,32,64000,-33125,306236,165,0,-32,0
0.086784,21,42000,-34375,207803,105,0,-21,0
0.087040,1,2000,-34800,-32811,-32,0,-1,1
0.087296,-50,-100000,-37400,-546850,-334,0,50,2
0.087552,8,16000,-35000,54685,17,0,-8,0
0.087808,23,46000,-33000,218740,113,0,-23,0
0.088064,57,114000,-33050,645283,355,0,-57,1
0.088320,-1,-2000,-31300,-65622,-48,0,1,1
0.088576,0,0,-32150,-32811,-32,0,0,1
0.088832,-3,-6000,-37650,43748,0,0,3,0
0.089088,39,78000,-34125,426543,230,0,-39,0
0.089344,2,4000,-30625,-54685,-40,0,-2,1
0.089600,-1,-2000,-31300,-43748,-38,0,1,1
0.089856,-15,-30000,-31825,-164055,-110,0,15,1
0.090112,30,60000,-29025,317173,170,0,-30,0
0.090368,43,86000,-33200,557787,298,0,-43,1
0.090624,13,26000,-31975,185929,88,0,-13,0
0.090880,60,120000,-34475,754653,410,0,-60,1
0.091136,17,34000,-36125,273425,132,0,-17,0
0.091392,-45,-90000,-34225,-481228,-296,0,45,2
0.091648,11,22000,-31500,87496,38,0,-11,0
0.091904,-4,-8000,-32150,-65622,-52,0,4,1
0.092160,-46,-92000,-33125,-524976,-317,0,46,2
0.092416,-5,-10000,-37300,21874,-12,0,5,1
0.092672,56,112000,-36900,667157,362,0,-56,1
0.092928,14,28000,-35675,185929,87,0,-14,0
0.093184,-15,-30000,-33850,-185929,-122,0,15,1
0.093440,-32,-64000,-32050,-393732,-239,0,32,1
0.093696,-5,-10000,-34150,-21874,-32,0,5,1
0.093952,9,18000,-39000,185929,81,0,-9,0
0.094208,-17,-34000,-43650,-87496,-81,0,17,1
0.094464,-24,-48000,-45200,-164055,-126,0,24,1
0.094720,-14,-28000,-44050,-87496,-78,0,14,1
0.094976,44,88000,-40925,503102,269,0,-44,1
0.095232,55,110000,-39850,634346,344,0,-55,1
0.095488,-8,-16000,-39900,-98433,-75,0,8,1
0.095744,9,18000,-35975,65622,23,0,-9,0
0.096000,-12,-24000,-34450,-207803,-130,0,12,1
0.096256,3,6000,-37000,43748,6,0,-3,0
0.096512,-22,-44000,-35625,-284362,-178,0,22,1
0.096768,-13,-26000,-33500,-185929,-120,0,13,1
0.097024,7,14000,-30025,10937,-2,0,-7,1
0.097280,-18,-36000,-31250,-251551,-156,0,18,1
0.097536,38,76000,-26850,328110,184,0,-38,0
0.097792,19,38000,-26075,131244,70,0,-19,0
0.098048,13,26000,-23500,32811,17,0,-13,0
0.098304,12,24000,-21725,21874,12,0,-12,0
0.098560,-3,-6000,-25200,-65622,-47,0,3,1
0.098816,42,84000,-21500,393732,223,0,-42,0
0.099072,1,2000,-20075,-76559,-46,0,-1,1
0.099328,30,60000,-18000,273425,154,0,-30,0
0.099584,32,64000,-21000,371858,203,0,-32,0
0.099840,-6,-12000,-19675,-98433,-64,0,6,1
0.100096,5,10000,-16375,-10937,-8,0,-5,1
0.100352,-73,-146000,-16200,-874960,-506,0,73,2
0.100608,1,2000,-12600,-65622,-37,0,-1,1
0.100864,-27,-54000,-11125,-393732,-224,0,27,1
0.101120,31,62000,-11625,306236,174,0,-31,0
0.101376,-11,-22000,-14550,-98433,-66,0,11,1
0.101632,20,40000,-15200,262488,140,0,-20,0
0.101888,28,56000,-15025,360921,196,0,-28,0
0.102144,-13,-26000,-15525,-120307,-79,0,13,1
0.102400,-6,-12000,-17400,10937,-9,0,6,1
0.102656,-9,-18000,-20375,0,-19,0,9,1
0.102912,-41,-82000,-23525,-349984,-222,0,41,1
0.103168,-16,-32000,-25875,-65622,-60,0,16,1
0.103424,-26,-52000,-27125,-196866,-135,0,26,1
0.103680,49,98000,-24775,590598,324,0,-49,1
0.103936,-14,-28000,-27325,-76559,-64,0,14,1
0.104192,-12,-24000,-26050,-120307,-83,0,12,1
0.104448,39,78000,-22975,404669,224,0,-39,0
0.104704,-19,-38000,-24200,-207803,-132,0,19,1
0.104960,37,74000,-19825,360921,203,0,-37,0
0.105216,-27,-54000,-22250,-339047,-203,0,27,1
0.105472,6,12000,-20250,10937,1,0,-6,0
0.105728,33,66000,-21675,349984,193,0,-33,0
0.105984,-24,-48000,-22575,-262488,-163,0,24,1
0.106240,44,88000,-22175,503102,278,0,-44,1
0.106496,0,0,-21350,-10937,-16,0,0,1
0.106752,-12,-24000,-20700,-153118,-97,0,12,1
0.107008,-51,-102000,-21975,-568724,-338,0,51,2
0.107264,55,110000,-22425,634346,353,0,-55,1
0.107520,3,6000,-26275,109370,44,0,-3,0
0.107776,32,64000,-25775,415606,222,0,-32,0
0.108032,-69,-138000,-25075,-765590,-453,0,69,2
0.108288,16,32000,-29025,262488,130,0,-16,0
0.108544,-12,-24000,-33525,10937,-23,0,12,1
0.108800,-2,-4000,-33325,54685,8,0,2,0
0.109056,-6,-12000,-35775,10937,-18,0,6,1
0.109312,37,74000,-34275,448417,238,0,-37,0
0.109568,-8,-16000,-33925,-87496,-67,0,8,1
0.109824,-10,-20000,-33625,-98433,-74,0,10,1
0.110080,47,94000,-33425,557787,302,0,-47,1
0.110336,-43,-86000,-36775,-404669,-258,0,43,2
0.110592,26,52000,-35925,349984,179,0,-26,0
0.110848,-33,-66000,-36200,-317173,-205,0,33,1
0.111104,0,0,-37800,65622,14,0,0,0
0.111360,62,124000,-39875,776527,420,0,-62,1
0.111616,38,76000,-36000,404669,217,0,-38,0
0.111872,12,24000,-37375,120307,52,0,-12,0
0.112128,-17,-34000,-39525,-174992,-121,0,17,1
0.112384,-5,-10000,-42250,0,-26,0,5,1
0.112640,-7,-14000,-44325,0,-28,0,7,1
0.112896,-20,-40000,-45200,-142181,-111,0,20,1
0.113152,65,130000,-41050,754653,412,0,-65,1
0.113408,3,6000,-42300,65622,14,0,-3,0
0.113664,34,68000,-40900,371858,195,0,-34,0
0.113920,-13,-26000,-42900,-120307,-92,0,13,1
0.114176,30,60000,-39625,317173,165,0,-30,0
0.114432,-35,-70000,-42900,-349984,-226,0,35,1
0.114688,-60,-120000,-43725,-634346,-390,0,60,2
0.114944,-19,-38000,-42525,-207803,-141,0,19,1
0.115200,33,66000,-46650,459354,234,0,-33,0
0.115456,-14,-28000,-46350,-120307,-95,0,14,1
0.115712,21,42000,-45900,273425,132,0,-21,0
0.115968,43,86000,-44325,492165,261,0,-43,1
0.116224,53,106000,-44375,612472,329,0,-53,1
0.116480,-7,-14000,-44800,-76559,-66,0,7,1
0.116736,-7,-14000,-41775,-131244,-91,0,7,1
0.116992,40,80000,-39925,382795,206,0,-40,0
0.117248,-8,-16000,-40900,-120307,-87,0,8,1
0.117504,-11,-22000,-39600,-153118,-105,0,11,1
0.117760,-10,-20000,-40075,-109370,-83,0,10,1
0.118016,1,2000,-38875,0,-18,0,-1,1
0.118272,-8,-16000,-37475,-120307,-85,0,8,1
0.118528,-38,-76000,-39675,-426543,-265,0,38,2
0.118784,26,52000,-40325,306236,155,0,-26,0
0.119040,-16,-32000,-40950,-142181,-105,0,16,1
0.119296,-10,-20000,-43650,-32811,-47,0,10,1
0.119552,14,28000,-41850,185929,84,0,-14,0
0.119808,-44,-88000,-42200,-503102,-309,0,44,2
0.120064,-15,-30000,-44775,-142181,-106,0,15,1
0.120320,59,118000,-44475,678094,367,0,-59,1
0.120576,31,62000,-45100,360921,184,0,-31,0
0.120832,12,24000,-42525,87496,34,0,-12,0
0.121088,19,38000,-40475,153118,74,0,-19,0
0.121344,-7,-14000,-41375,-87496,-70,0,7,1
0.121600,38,76000,-41050,426543,225,0,-38,0
0.121856,-17,-34000,-42475,-164055,-117,0,17,1
0.122112,61,122000,-42975,710905,386,0,-61,1
0.122368,38,76000,-41025,393732,209,0,-38,0
0.122624,2,4000,-41975,10937,-13,0,-2,1
0.122880,34,68000,-40775,349984,184,0,-34,0
0.123136,-21,-42000,-40575,-273425,-174,0,21,1
0.123392,-17,-34000,-44200,-153118,-113,0,17,1
0.123648,37,74000,-42700,448417,234,0,-37,0
0.123904,-23,-46000,-42650,-240614,-161,0,23,1
0.124160,-82,-164000,-45500,-885897,-535,0,82,3
