# pid_algorithm_sim v1
# alg: old
# set_pid: 2000 25 175000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 4
# move_sent_at_s: 1.000000
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.040960,-36,-72000,-14250,-251528,-165,0,36,1
0.041088,23,46000,-15250,87488,57,0,-23,0
0.041216,29,58000,-16850,131232,84,0,-29,0
0.041344,-34,-68000,-15550,-240592,-159,0,34,1
0.041472,-37,-74000,-17675,-246060,-165,0,37,1
0.041600,14,28000,-15975,27340,19,0,-14,0
0.041728,8,16000,-14950,-21872,-11,0,-8,1
0.041856,13,26000,-15150,5468,7,0,-13,0
0.041984,-10,-20000,-16100,-120296,-77,0,10,1
0.042112,65,130000,-14725,295272,200,0,-65,0
0.042240,-2,-4000,-13375,-92956,-54,0,2,1
0.042368,40,80000,-11975,131232,97,0,-40,0
0.042496,43,86000,-11400,147636,108,0,-43,0
0.042624,17,34000,-9850,-5468,9,0,-17,0
0.042752,24,48000,-9275,32808,34,0,-24,0
0.042880,8,16000,-11350,-43744,-20,0,-8,1
0.043008,10,20000,-7300,-54680,-21,0,-10,1
0.043136,29,58000,-6600,49212,49,0,-29,0
0.043264,-12,-24000,-6300,-180444,-103,0,12,1
0.043392,24,48000,-7050,38276,38,0,-24,0
0.043520,-13,-26000,-4550,-191380,-109,0,13,1
0.043648,-39,-78000,-3800,-333548,-203,0,39,1
0.043776,79,158000,-1900,317144,231,0,-79,0
0.043904,-24,-48000,-1850,-256996,-150,0,24,1
0.044032,-10,-20000,-1725,-169508,-94,0,10,1
0.044160,11,22000,-1025,-54680,-17,0,-11,1
0.044288,-27,-54000,-1250,-262464,-156,0,27,1
0.044416,24,48000,-1575,27340,36,0,-24,0
0.044544,-35,-70000,-2450,-300740,-183,0,35,1
0.044672,13,26000,-3125,-27340,-3,0,-13,1
0.044800,-55,-110000,-4900,-393696,-249,0,55,1
0.044928,-9,-18000,-3625,-142168,-80,0,9,1
0.045056,9,18000,-2950,-43744,-15,0,-9,1
0.045184,-23,-46000,-800,-235124,-138,0,23,1
0.045312,7,14000,-2300,-54680,-21,0,-7,1
0.045440,41,82000,-2100,136700,105,0,-41,0
0.045568,-1,-2000,-1500,-103892,-53,0,1,1
0.045696,76,152000,-1225,322612,231,0,-76,0
0.045824,-45,-90000,-4050,-339016,-212,0,45,1
0.045952,-11,-22000,-6650,-131232,-79,0,11,1
0.046080,-27,-54000,-6875,-224188,-140,0,27,1
0.046208,8,16000,-8025,-21872,-7,0,-8,1
0.046336,-10,-20000,-5425,-142168,-82,0,10,1
0.046464,9,18000,-3800,-54680,-20,0,-9,1
0.046592,-3,-6000,-4525,-120296,-64,0,3,1
0.046720,22,44000,-6500,32808,34,0,-22,0
0.046848,53,106000,-6000,207784,150,0,-53,0
0.046976,-7,-14000,-4525,-136700,-76,0,7,1
0.047104,24,48000,-3225,32808,37,0,-24,0
0.047232,-50,-100000,-2125,-393696,-243,0,50,1
0.047360,3,6000,-3100,-87488,-42,0,-3,1
0.047488,51,102000,375,164040,130,0,-51,0
0.047616,-3,-6000,850,-136700,-70,0,3,1
0.047744,-45,-90000,-1425,-355420,-219,0,45,1
0.047872,-54,-108000,-800,-404632,-251,0,54,1
